date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2011-04-01,71,Cloudy,2.1,9,14
2011-04-02,8,Sunny,0.3,5,11
2011-04-03,58,"Light rain shower",0.6,4,10
2011-04-04,100,"Light rain",3.1,9,10
2011-04-05,61,"Patchy light drizzle",2.7,11,15
2011-04-06,69,Cloudy,0.4,7,16
2011-04-07,12,Sunny,0.0,4,12
2011-04-08,21,Sunny,0.0,7,16
2011-04-09,12,Sunny,0.0,8,19
2011-04-10,65,Cloudy,0.1,9,16
2011-04-11,39,"Partly Cloudy",1.3,3,12
2011-04-12,21,Sunny,0.2,4,10
2011-04-13,100,"Light drizzle",1.2,5,9
2011-04-14,77,Cloudy,0.2,6,14
2011-04-15,73,"Light rain shower",0.7,6,13
2011-04-16,25,"Partly Cloudy",0.0,3,13
2011-04-17,23,Sunny,0.0,6,15
2011-04-18,47,"Partly Cloudy",0.5,8,16
2011-04-19,13,"Patchy rain nearby",3.2,6,16
2011-04-20,15,Sunny,0.2,7,18
2011-04-21,45,"Partly Cloudy",0.2,5,17
2011-04-22,8,Sunny,0.0,8,17
2011-04-23,100,"Light rain shower",6.3,4,16
2011-04-24,35,"Partly Cloudy",0.0,5,15
2011-04-25,34,"Patchy rain nearby",0.6,3,13
2011-04-26,8,Sunny,0.0,3,12
2011-04-27,36,"Partly Cloudy",0.0,3,14
2011-04-28,4,Sunny,0.0,4,14
2011-04-29,33,"Partly Cloudy",0.0,4,14
2011-04-30,15,Sunny,0.0,6,14
2011-05-01,2,Sunny,0.0,5,14
2011-05-02,2,Sunny,0.0,2,13
2011-05-03,0,Sunny,0.0,1,12
2011-05-04,9,Sunny,0.0,4,14
2011-05-05,56,"Partly Cloudy",1.2,8,16
2011-05-06,94,"Light drizzle",4.1,11,15
2011-05-07,60,"Light rain shower",21.8,9,17
2011-05-08,84,"Light rain shower",10.1,7,16
2011-05-09,39,"Patchy rain nearby",7.0,7,16
2011-05-10,81,"Light drizzle",1.9,8,14
2011-05-11,93,"Light rain shower",2.1,6,12
2011-05-12,48,"Patchy rain nearby",1.6,5,14
2011-05-13,36,"Patchy rain nearby",1.2,3,12
2011-05-14,43,"Light rain shower",9.7,4,13
2011-05-15,43,"Partly Cloudy",0.8,9,12
2011-05-16,95,"Light drizzle",5.0,8,12
2011-05-17,92,Overcast,0.8,10,15
2011-05-18,92,"Light rain shower",1.8,6,11
2011-05-19,25,"Patchy rain nearby",0.8,7,13
2011-05-20,29,"Patchy rain nearby",4.3,6,11
2011-05-21,74,Cloudy,7.3,5,12
2011-05-22,73,"Light rain shower",6.5,6,11
2011-05-23,37,"Patchy rain nearby",9.3,4,12
2011-05-24,48,"Patchy rain nearby",0.8,3,11
2011-05-25,100,"Light drizzle",1.9,8,12
2011-05-26,85,"Moderate or heavy rain shower",10.6,6,13
2011-05-27,26,"Partly Cloudy",1.5,8,12
2011-05-28,78,"Light rain shower",1.8,6,11
2011-05-29,74,"Light rain shower",1.0,4,12
2011-05-30,45,"Patchy rain nearby",1.5,4,12
2011-05-31,19,"Patchy rain nearby",0.7,9,13
2011-06-01,80,"Light drizzle",0.8,10,15
2011-06-02,43,"Partly Cloudy",0.1,10,18
2011-06-03,21,Sunny,1.6,10,21
2011-06-04,77,Cloudy,0.3,8,11
2011-06-05,62,Sunny,2.9,6,14
2011-06-06,76,Cloudy,3.9,5,12
2011-06-07,76,"Light drizzle",6.0,4,13
2011-06-08,88,"Light rain shower",3.8,5,13
2011-06-09,49,"Patchy rain nearby",1.2,2,12
2011-06-10,80,"Light rain shower",4.1,4,13
2011-06-11,89,"Light rain",8.3,1,11
2011-06-12,39,"Partly Cloudy",3.3,8,13
2011-06-13,71,"Light rain shower",2.9,5,13
2011-06-14,5,Sunny,0.1,8,16
