date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2014-04-01,100,"Light rain",18.5,6,10,16
2014-04-02,83,Cloudy,3.6,6,8,21
2014-04-03,100,"Light drizzle",5.3,7,9,21
2014-04-04,100,"Light rain",14.2,5,13,13
2014-04-05,100,"Light rain",5.1,9,12,18
2014-04-06,71,"Patchy light rain",3.2,4,14,28
2014-04-07,100,"Light rain",2.7,3,10,15
2014-04-08,30,"Partly Cloudy",0.4,6,12,29
2014-04-09,89,Overcast,2.2,6,12,28
2014-04-10,78,"Light rain shower",0.8,2,12,21
2014-04-11,50,"Partly Cloudy",0.4,6,12,24
2014-04-12,27,"Patchy rain nearby",0.8,5,11,40
2014-04-13,80,"Light rain shower",1.4,3,10,40
2014-04-14,28,"Partly Cloudy",0.1,3,13,23
2014-04-15,76,Cloudy,0.0,4,14,16
2014-04-16,77,Cloudy,0.1,8,14,28
2014-04-17,51,"Light rain shower",1.3,2,12,35
2014-04-18,4,Sunny,0.0,5,15,8
2014-04-19,32,"Partly Cloudy",0.0,3,15,13
2014-04-20,6,Sunny,0.0,5,13,19
2014-04-21,21,Sunny,0.1,6,15,27
2014-04-22,81,"Light drizzle",3.1,8,12,23
2014-04-23,19,Sunny,4.1,9,17,15
2014-04-24,21,"Patchy rain nearby",6.2,6,18,11
2014-04-25,100,"Light drizzle",11.0,8,12,19
2014-04-26,57,"Patchy light drizzle",8.6,8,13,23
2014-04-27,100,"Light drizzle",2.1,6,13,14
2014-04-28,74,Cloudy,1.0,7,16,13
2014-04-29,29,"Partly Cloudy",0.6,5,19,5
2014-04-30,100,"Light drizzle",11.4,8,13,19
2014-05-01,100,"Light rain",9.2,3,8,23
2014-05-02,1,Sunny,0.0,0,11,15
2014-05-03,71,Cloudy,0.3,7,14,12
2014-05-04,93,Overcast,3.1,6,14,21
2014-05-05,46,"Partly Cloudy",1.7,9,16,19
2014-05-06,41,"Partly Cloudy",1.7,8,16,22
2014-05-07,89,"Light rain",8.0,6,12,24
2014-05-08,57,"Partly Cloudy",0.9,8,15,13
2014-05-09,40,"Patchy rain nearby",1.8,6,14,30
2014-05-10,90,"Light drizzle",11.2,3,14,14
2014-05-11,82,"Light rain shower",1.6,3,14,16
2014-05-12,73,"Patchy light rain",5.7,0,12,11
2014-05-13,20,Sunny,5.2,0,15,14
2014-05-14,46,"Partly Cloudy",0.1,7,16,15
2014-05-15,61,"Partly Cloudy",0.2,7,18,23
2014-05-16,51,"Light rain shower",0.4,8,18,26
2014-05-17,87,Cloudy,0.3,9,16,26
2014-05-18,100,Overcast,0.1,8,18,26
2014-05-19,49,"Patchy rain nearby",2.7,9,19,20
2014-05-20,29,"Partly Cloudy",2.1,9,18,19
2014-05-21,1,Sunny,0.4,6,18,23
2014-05-22,79,"Light rain",5.8,2,11,17
2014-05-23,70,Cloudy,0.7,7,14,18
2014-05-24,99,"Light rain shower",2.2,8,12,18
2014-05-25,40,"Patchy rain nearby",4.4,7,16,21
2014-05-26,88,"Light rain shower",7.0,6,17,9
2014-05-27,93,Overcast,0.6,7,16,17
2014-05-28,92,"Light drizzle",11.0,7,13,22
2014-05-29,84,"Light drizzle",1.6,1,13,22
2014-05-30,2,Sunny,0.1,5,19,8
2014-05-31,47,"Patchy rain nearby",0.7,11,20,11
2014-06-01,100,"Light drizzle",3.5,10,16,14
2014-06-02,75,"Light rain shower",7.1,9,18,15
2014-06-03,85,"Light rain shower",3.1,5,17,13
2014-06-04,71,"Patchy light rain",7.3,10,15,9
2014-06-05,82,"Light rain shower",5.8,9,18,10
2014-06-06,27,"Partly Cloudy",0.4,8,21,12
2014-06-07,77,Cloudy,16.8,8,18,23
2014-06-08,49,"Light rain shower",5.3,7,19,17
2014-06-09,72,"Patchy light rain",10.4,8,18,14
2014-06-10,64,"Moderate or heavy rain shower",5.4,8,19,23
2014-06-11,13,Sunny,0.7,8,19,20
2014-06-12,45,"Partly Cloudy",0.2,12,20,18
2014-06-13,82,"Light rain shower",9.2,9,21,11
2014-06-14,63,"Light rain shower",3.0,13,22,10
2014-06-15,68,Cloudy,2.2,8,21,9
2014-06-16,27,"Partly Cloudy",0.0,8,22,10
2014-06-17,32,"Patchy rain nearby",4.2,13,25,9
2014-06-18,51,"Light rain shower",4.1,10,25,15
2014-06-19,21,Sunny,0.3,9,21,11
2014-06-20,30,"Partly Cloudy",0.5,7,19,11
2014-06-21,49,"Patchy rain nearby",1.4,6,20,14
2014-06-22,59,"Partly Cloudy",1.9,8,21,15
2014-06-23,50,"Light rain shower",5.1,9,21,15
2014-06-24,72,"Light rain shower",2.0,9,20,14
2014-06-25,95,"Light drizzle",3.8,6,16,9
2014-06-26,41,"Partly Cloudy",0.0,5,18,15
2014-06-27,72,"Light rain shower",0.5,5,15,16
2014-06-28,39,"Patchy rain nearby",1.2,4,16,15
2014-06-29,34,"Patchy rain nearby",0.9,6,19,10
2014-06-30,46,"Patchy rain nearby",2.6,13,20,8
2014-07-01,5,Sunny,0.2,10,21,10
2014-07-02,52,"Partly Cloudy",1.5,9,20,32
2014-07-03,42,"Partly Cloudy",0.0,8,19,22
2014-07-04,43,"Partly Cloudy",1.3,8,18,23
2014-07-05,36,"Partly Cloudy",2.1,6,18,19
2014-07-06,36,"Patchy rain nearby",2.1,8,17,18
2014-07-07,21,"Patchy rain nearby",4.4,7,19,15
2014-07-08,52,"Partly Cloudy",3.8,7,21,7
2014-07-09,6,Sunny,0.3,9,23,12
2014-07-10,36,"Partly Cloudy",0.0,8,20,10
2014-07-11,9,Sunny,0.3,11,24,7
2014-07-12,96,"Light drizzle",3.6,13,22,17
2014-07-13,21,Sunny,4.2,7,22,14
2014-07-14,57,"Patchy light drizzle",3.7,10,19,21
2014-07-15,22,Sunny,0.1,8,20,20
2014-07-16,91,"Light drizzle",1.9,9,19,25
2014-07-17,29,"Partly Cloudy",0.1,11,24,14
2014-07-18,18,Sunny,0.7,12,21,26
2014-07-19,100,"Moderate rain",20.8,14,19,14
2014-07-20,52,"Partly Cloudy",2.0,11,24,15
2014-07-21,41,"Partly Cloudy",0.2,12,24,12
2014-07-22,12,Sunny,0.1,13,26,12
2014-07-23,63,Cloudy,0.0,11,23,15
2014-07-24,4,Sunny,0.0,9,25,13
2014-07-25,2,Sunny,0.2,12,27,9
2014-07-26,23,"Patchy rain nearby",7.4,11,25,14
2014-07-27,96,"Light drizzle",2.3,7,18,19
2014-07-28,7,Sunny,0.1,11,24,12
2014-07-29,59,"Light rain shower",0.6,11,20,22
2014-07-30,45,"Patchy rain nearby",1.4,10,21,25
2014-07-31,80,"Light rain shower",1.5,14,20,18
2014-08-01,43,"Patchy rain nearby",2.1,9,21,10
2014-08-02,94,"Light rain",14.0,12,16,20
2014-08-03,60,"Light rain shower",9.1,11,20,18
2014-08-04,17,Sunny,0.4,8,19,24
2014-08-05,59,"Patchy light drizzle",3.2,9,21,11
2014-08-06,100,"Light rain",7.8,9,19,16
2014-08-07,20,Sunny,0.3,8,20,16
2014-08-08,22,Sunny,8.8,10,21,13
2014-08-09,61,"Light rain shower",2.9,9,19,23
2014-08-10,100,"Moderate rain",17.4,11,15,21
2014-08-11,66,"Light rain shower",12.6,10,18,36
2014-08-12,100,"Light rain",2.9,11,15,28
2014-08-13,88,Overcast,2.7,9,19,22
2014-08-14,44,"Light rain shower",8.9,8,19,13
2014-08-15,44,"Patchy rain nearby",0.7,8,20,13
2014-08-16,99,Overcast,2.4,10,15,29
2014-08-17,84,"Light rain shower",4.1,9,17,35
2014-08-18,64,Cloudy,2.1,5,16,21
2014-08-19,80,"Light rain shower",3.7,5,16,14
2014-08-20,32,"Patchy rain nearby",1.9,7,17,15
2014-08-21,80,"Light rain",10.4,5,17,21
2014-08-22,20,Sunny,1.8,5,16,14
2014-08-23,19,"Patchy rain nearby",2.8,4,16,14
2014-08-24,5,Sunny,0.1,7,18,8
2014-08-25,52,"Partly Cloudy",0.1,9,16,26
2014-08-26,12,Sunny,0.0,4,16,19
2014-08-27,16,Sunny,0.0,9,17,20
2014-08-28,85,"Light drizzle",10.8,11,18,19
2014-08-29,100,"Moderate or heavy rain in area with thunder",6.3,11,17,28
2014-08-30,55,"Light rain shower",0.6,9,18,28
2014-08-31,39,"Partly Cloudy",1.5,12,19,15
2014-09-01,45,"Partly Cloudy",0.2,9,19,14
2014-09-02,36,"Partly Cloudy",0.2,11,21,9
2014-09-03,48,"Partly Cloudy",0.2,10,19,6
2014-09-04,29,"Patchy rain nearby",0.4,11,22,8
2014-09-05,62,"Light rain shower",2.4,10,20,10
2014-09-06,23,Sunny,0.9,6,18,13
2014-09-07,24,Sunny,0.2,5,18,14
2014-09-08,20,Sunny,0.0,7,18,10
2014-09-09,21,Sunny,0.0,7,19,6
2014-09-10,28,"Partly Cloudy",0.0,10,20,9
2014-09-11,48,"Partly Cloudy",0.0,9,22,6
2014-09-12,17,Sunny,0.0,9,21,6
2014-09-13,44,"Partly Cloudy",0.1,8,21,10
2014-09-14,89,Overcast,0.3,11,16,13
2014-09-15,100,"Light rain",4.8,12,15,14
2014-09-16,49,"Partly Cloudy",0.9,11,18,8
2014-09-17,85,Cloudy,0.6,14,17,9
2014-09-18,81,"Light drizzle",1.4,12,19,13
2014-09-19,81,Cloudy,0.4,8,19,8
2014-09-20,68,"Light rain shower",1.8,7,18,9
2014-09-21,3,Sunny,0.0,8,19,7
2014-09-22,13,Sunny,0.0,9,17,16
2014-09-23,56,"Partly Cloudy",1.5,8,16,17
2014-09-24,40,"Partly Cloudy",0.1,8,15,17
2014-09-25,67,Cloudy,0.9,12,18,23
2014-09-26,9,Sunny,1.0,7,15,28
2014-09-27,33,"Partly Cloudy",0.0,11,16,24
2014-09-28,60,"Partly Cloudy",0.0,10,19,19
2014-09-29,59,"Partly Cloudy",0.4,9,20,10
2014-09-30,61,"Partly Cloudy",0.8,15,19,22
2014-10-01,11,Sunny,1.6,5,15,20
2014-10-02,36,"Partly Cloudy",0.0,9,14,21
2014-10-03,60,"Moderate rain at times",13.0,7,15,32
2014-10-04,23,Sunny,14.2,5,13,28
2014-10-05,77,Cloudy,0.3,7,15,24
2014-10-06,86,"Light rain",13.8,3,12,33
2014-10-07,42,"Partly Cloudy",0.0,5,12,21
2014-10-08,27,"Partly Cloudy",1.2,8,15,20
2014-10-09,78,"Light rain shower",2.2,6,14,17
2014-10-10,92,"Patchy rain nearby",0.5,4,13,14
2014-10-11,27,"Partly Cloudy",0.0,5,14,10
2014-10-12,58,"Partly Cloudy",0.1,4,14,11
2014-10-13,86,"Patchy rain nearby",0.5,5,11,25
2014-10-14,55,"Partly Cloudy",0.0,6,11,21
2014-10-15,20,Sunny,0.5,8,12,23
2014-10-16,100,"Light drizzle",7.9,10,12,22
