date,cloud_cover,weather_desc
2015-04-01,100,"Light rain shower"
2015-04-02,50,"Partly Cloudy"
2015-04-03,100,"Light drizzle"
2015-04-04,88,Overcast
2015-04-05,16,Sunny
2015-04-06,36,"Partly Cloudy"
2015-04-07,88,Overcast
2015-04-08,87,Cloudy
2015-04-09,9,Sunny
2015-04-10,71,Cloudy
2015-04-11,77,Cloudy
2015-04-12,19,"Patchy rain nearby"
2015-04-13,54,"Patchy rain nearby"
2015-04-14,100,"Patchy rain nearby"
2015-04-15,88,Overcast
2015-04-16,39,"Partly Cloudy"
2015-04-17,19,Sunny
2015-04-18,4,Sunny
2015-04-19,6,Sunny
2015-04-20,36,"Partly Cloudy"
2015-04-21,7,Sunny
2015-04-22,9,Sunny
2015-04-23,9,Sunny
2015-04-24,58,"Light rain shower"
2015-04-25,24,Sunny
2015-04-26,16,"Patchy rain nearby"
2015-04-27,77,Cloudy
2015-04-28,80,"Light rain shower"
2015-04-29,71,"Light rain shower"
2015-04-30,18,"Patchy rain nearby"
2015-05-01,58,"Partly Cloudy"
2015-05-02,100,"Light drizzle"
2015-05-03,100,"Light rain"
2015-05-04,88,"Patchy rain nearby"
2015-05-05,100,"Light rain"
2015-05-06,100,"Light rain shower"
2015-05-07,100,"Light rain shower"
2015-05-08,87,Cloudy
2015-05-09,67,"Patchy rain nearby"
2015-05-10,71,Cloudy
2015-05-11,95,"Light rain shower"
2015-05-12,100,"Patchy rain nearby"
2015-05-13,53,"Partly Cloudy"
2015-05-14,80,"Patchy rain nearby"
2015-05-15,16,Sunny
2015-05-16,65,"Light rain shower"
2015-05-17,80,"Light rain shower"
2015-05-18,54,"Light rain shower"
2015-05-19,28,"Patchy light rain in area with thunder"
2015-05-20,14,Sunny
2015-05-21,75,Cloudy
2015-05-22,23,Sunny
2015-05-23,66,Cloudy
2015-05-24,91,Overcast
2015-05-25,87,"Light rain shower"
2015-05-26,0,Sunny
2015-05-27,100,"Light drizzle"
2015-05-28,84,"Light rain shower"
2015-05-29,54,"Light rain shower"
2015-05-30,62,"Partly Cloudy"
2015-05-31,97,"Light drizzle"
2015-06-01,52,"Patchy rain nearby"
2015-06-02,97,"Patchy rain nearby"
2015-06-03,48,"Patchy rain nearby"
2015-06-04,87,"Light rain shower"
2015-06-05,83,"Patchy rain nearby"
2015-06-06,100,"Light rain shower"
2015-06-07,38,"Patchy rain nearby"
2015-06-08,82,"Patchy rain nearby"
2015-06-09,50,"Partly Cloudy"
2015-06-10,11,Sunny
2015-06-11,16,Sunny
2015-06-12,71,Cloudy
2015-06-13,100,"Light drizzle"
2015-06-14,70,Cloudy
2015-06-15,73,"Patchy rain nearby"
2015-06-16,56,"Partly Cloudy"
2015-06-17,96,"Light drizzle"
2015-06-18,100,"Patchy rain nearby"
2015-06-19,100,"Light drizzle"
2015-06-20,87,"Patchy rain nearby"
2015-06-21,49,"Patchy rain nearby"
2015-06-22,100,"Light rain"
2015-06-23,81,Cloudy
2015-06-24,100,"Patchy rain nearby"
2015-06-25,55,"Partly Cloudy"
2015-06-26,100,"Light rain"
2015-06-27,20,Sunny
2015-06-28,64,"Light rain shower"
2015-06-29,27,"Partly Cloudy"
2015-06-30,60,"Partly Cloudy"
2015-07-01,15,"Patchy rain nearby"
2015-07-02,65,Cloudy
2015-07-03,27,"Partly Cloudy"
2015-07-04,60,"Patchy rain nearby"
2015-07-05,39,"Patchy rain nearby"
2015-07-06,38,"Partly Cloudy"
2015-07-07,47,"Light rain shower"
2015-07-08,100,"Light rain shower"
2015-07-09,92,Overcast
2015-07-10,35,"Partly Cloudy"
2015-07-11,74,"Light rain shower"
2015-07-12,57,"Light rain shower"
2015-07-13,53,"Light rain shower"
2015-07-14,77,"Patchy rain nearby"
2015-07-15,38,"Patchy rain nearby"
2015-07-16,53,"Light rain shower"
2015-07-17,85,"Patchy rain nearby"
2015-07-18,43,"Patchy rain nearby"
2015-07-19,100,"Patchy rain nearby"
2015-07-20,85,"Light drizzle"
2015-07-21,79,"Patchy rain nearby"
2015-07-22,79,"Light rain shower"
2015-07-23,95,"Light rain shower"
2015-07-24,39,"Patchy rain nearby"
2015-07-25,53,"Light rain shower"
2015-07-26,66,"Patchy rain nearby"
2015-07-27,100,"Light rain"
2015-07-28,88,"Light rain"
2015-07-29,49,"Patchy rain nearby"
2015-07-30,100,"Patchy rain nearby"
2015-07-31,70,"Light rain shower"
2015-08-01,96,"Light rain shower"
2015-08-02,96,"Light drizzle"
2015-08-03,94,Overcast
2015-08-04,99,"Light drizzle"
2015-08-05,100,"Light drizzle"
2015-08-06,30,"Partly Cloudy"
2015-08-07,13,Sunny
2015-08-08,60,"Partly Cloudy"
2015-08-09,60,"Light rain shower"
2015-08-10,82,"Light rain shower"
2015-08-11,56,"Patchy rain nearby"
2015-08-12,83,Cloudy
2015-08-13,28,"Partly Cloudy"
2015-08-14,74,"Moderate rain at times"
2015-08-15,4,Sunny
2015-08-16,74,"Patchy rain nearby"
2015-08-17,81,Cloudy
2015-08-18,100,"Light drizzle"
2015-08-19,8,Sunny
2015-08-20,36,"Patchy rain nearby"
2015-08-21,67,"Light rain shower"
2015-08-22,77,Cloudy
2015-08-23,7,Sunny
2015-08-24,91,Overcast
2015-08-25,14,Sunny
2015-08-26,82,"Light drizzle"
2015-08-27,66,"Patchy rain nearby"
2015-08-28,34,"Patchy rain nearby"
2015-08-29,97,"Light rain shower"
2015-08-30,38,"Partly Cloudy"
2015-08-31,48,"Patchy rain nearby"
2015-09-01,100,"Moderate or heavy rain in area with thunder"
2015-09-02,69,"Patchy rain nearby"
2015-09-03,100,Overcast
2015-09-04,73,Cloudy
2015-09-05,85,Cloudy
2015-09-06,86,Cloudy
2015-09-07,58,"Partly Cloudy"
2015-09-08,77,Cloudy
2015-09-09,33,"Partly Cloudy"
2015-09-10,0,Sunny
