date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2013-04-01,29,"Partly Cloudy",0.8,4,13,26
2013-04-02,24,"Patchy rain nearby",0.6,4,14,23
2013-04-03,44,"Partly Cloudy",3.7,5,15,19
2013-04-04,28,"Patchy rain nearby",1.5,5,14,19
2013-04-05,6,Sunny,0.7,0,11,22
2013-04-06,13,Sunny,0.0,2,12,20
2013-04-07,54,"Partly Cloudy",0.0,5,14,17
2013-04-08,46,"Partly Cloudy",1.8,4,14,20
2013-04-09,50,"Partly Cloudy",0.0,7,14,23
2013-04-10,36,"Partly Cloudy",0.1,10,17,26
2013-04-11,17,Sunny,0.5,6,16,31
2013-04-12,12,Sunny,0.0,5,17,14
2013-04-13,3,Sunny,0.0,10,24,8
2013-04-14,3,Sunny,0.0,10,25,10
2013-04-15,14,Sunny,0.1,11,24,13
2013-04-16,7,Sunny,0.0,14,26,8
2013-04-17,0,Sunny,0.0,15,28,12
2013-04-18,3,Sunny,0.0,12,27,12
2013-04-19,29,"Partly Cloudy",0.0,4,18,23
2013-04-20,0,Sunny,0.0,5,21,15
2013-04-21,22,Sunny,0.0,8,21,13
2013-04-22,1,Sunny,0.0,6,20,16
2013-04-23,6,Sunny,0.0,7,21,14
2013-04-24,8,Sunny,0.0,9,21,9
2013-04-25,47,"Partly Cloudy",0.0,12,22,19
2013-04-26,34,"Patchy rain nearby",14.3,10,19,11
2013-04-27,7,Sunny,12.5,2,15,21
2013-04-28,88,"Light rain",20.8,2,6,22
2013-04-29,79,"Moderate rain",30.5,3,6,20
2013-04-30,29,"Patchy rain nearby",1.3,8,16,15
2013-05-01,30,"Patchy rain nearby",1.6,6,17,6
2013-05-02,18,Sunny,0.4,6,19,12
2013-05-03,9,Sunny,0.0,7,21,13
2013-05-04,10,Sunny,0.0,11,23,12
2013-05-05,5,Sunny,0.0,11,24,9
2013-05-06,61,"Partly Cloudy",0.0,12,23,14
2013-05-07,18,Sunny,0.9,12,23,18
2013-05-08,22,Sunny,0.0,12,24,17
2013-05-09,46,"Partly Cloudy",1.3,11,23,22
2013-05-10,46,"Partly Cloudy",0.7,11,23,10
2013-05-11,7,Sunny,0.0,9,24,14
2013-05-12,5,Sunny,0.0,11,26,15
2013-05-13,8,Sunny,0.1,12,26,13
