date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2011-04-01,0,Sunny,0.0,9,27,8
2011-04-02,89,Overcast,0.0,9,23,17
2011-04-03,39,"Light rain shower",5.3,9,17,15
2011-04-04,42,"Partly Cloudy",0.2,10,22,10
2011-04-05,0,Sunny,0.0,13,27,12
2011-04-06,12,Sunny,0.0,11,24,13
2011-04-07,11,Sunny,0.0,13,29,8
2011-04-08,0,Sunny,0.0,14,30,6
2011-04-09,0,Sunny,0.0,14,29,11
2011-04-10,6,Sunny,0.2,9,26,15
2011-04-11,9,Sunny,0.0,8,22,14
2011-04-12,18,Sunny,0.0,12,25,13
2011-04-13,0,Sunny,0.0,13,29,12
2011-04-14,1,Sunny,0.0,11,27,11
2011-04-15,0,Sunny,0.0,10,26,13
2011-04-16,19,Sunny,0.0,7,22,14
2011-04-17,8,Sunny,0.0,7,23,12
2011-04-18,5,Sunny,0.1,9,23,10
2011-04-19,22,Sunny,1.9,10,21,16
2011-04-20,57,"Light rain shower",9.8,10,19,13
2011-04-21,48,"Patchy rain nearby",16.2,9,19,12
2011-04-22,64,"Light rain shower",10.0,6,15,14
2011-04-23,32,"Patchy rain nearby",2.0,7,18,7
2011-04-24,30,"Patchy rain nearby",2.6,8,19,15
2011-04-25,39,"Partly Cloudy",2.0,8,18,12
2011-04-26,34,"Partly Cloudy",1.1,9,19,12
2011-04-27,9,Sunny,0.2,10,24,12
2011-04-28,10,Sunny,0.8,10,23,9
2011-04-29,27,"Patchy light rain in area with thunder",9.7,9,20,12
2011-04-30,74,"Light rain shower",4.4,11,18,13
2011-05-01,23,Sunny,1.0,9,21,9
2011-05-02,23,"Patchy light rain in area with thunder",2.9,11,21,8
2011-05-03,17,"Patchy rain nearby",2.3,9,21,15
2011-05-04,18,Sunny,0.0,9,22,12
2011-05-05,14,Sunny,0.6,11,23,8
2011-05-06,32,"Patchy rain nearby",8.9,12,21,14
2011-05-07,46,"Light rain shower",11.2,7,17,14
2011-05-08,0,Sunny,0.0,12,24,8
2011-05-09,8,Sunny,0.0,13,26,8
2011-05-10,2,Sunny,0.0,15,27,12
2011-05-11,0,Sunny,0.0,12,26,12
2011-05-12,12,Sunny,0.0,13,26,11
2011-05-13,15,Sunny,2.3,12,23,17
2011-05-14,20,"Patchy rain nearby",3.7,7,25,20
2011-05-15,0,Sunny,0.0,10,20,19
2011-05-16,13,Sunny,0.0,12,24,14
2011-05-17,20,Sunny,0.0,12,25,14
2011-05-18,16,Sunny,2.1,11,24,18
2011-05-19,40,"Partly Cloudy",0.5,10,21,15
2011-05-20,10,Sunny,0.0,12,24,7
2011-05-21,9,Sunny,0.0,14,26,9
2011-05-22,20,Sunny,0.0,16,28,12
2011-05-23,5,Sunny,0.1,16,30,11
2011-05-24,6,Sunny,0.6,17,30,12
2011-05-25,2,Sunny,0.0,17,29,8
2011-05-26,8,Sunny,0.0,15,29,14
2011-05-27,29,"Partly Cloudy",3.8,14,26,10
2011-05-28,11,Sunny,0.0,16,28,10
2011-05-29,8,Sunny,1.5,15,27,17
2011-05-30,20,"Patchy rain nearby",4.6,14,24,16
2011-05-31,30,"Patchy rain nearby",0.9,15,24,21
2011-06-01,0,Sunny,0.0,7,21,19
2011-06-02,24,Sunny,0.0,10,21,20
2011-06-03,18,Sunny,0.0,12,24,14
2011-06-04,15,Sunny,0.5,12,24,8
2011-06-05,27,Sunny,2.1,14,23,11
2011-06-06,30,"Patchy light rain in area with thunder",2.4,13,25,17
2011-06-07,47,"Light rain shower",5.3,11,21,14
2011-06-08,31,"Patchy rain nearby",0.8,12,23,12
2011-06-09,23,Sunny,0.0,11,23,17
2011-06-10,23,Sunny,0.3,14,24,12
2011-06-11,22,Sunny,0.0,16,26,10
2011-06-12,4,Sunny,0.0,17,30,13
2011-06-13,3,Sunny,0.0,17,30,12
2011-06-14,6,Sunny,0.0,18,30,11
2011-06-15,5,Sunny,0.0,18,31,11
2011-06-16,10,Sunny,0.0,18,30,13
2011-06-17,8,Sunny,0.0,17,30,18
2011-06-18,0,Sunny,0.0,17,29,13
2011-06-19,2,Sunny,0.0,21,32,11
2011-06-20,15,Sunny,0.0,22,32,14
2011-06-21,4,Sunny,0.1,22,33,15
2011-06-22,13,Sunny,0.0,21,30,19
2011-06-23,2,Sunny,0.0,18,30,15
2011-06-24,4,Sunny,0.0,21,37,16
2011-06-25,3,Sunny,0.0,22,38,10
2011-06-26,0,Sunny,0.0,23,40,11
2011-06-27,2,Sunny,0.1,25,37,13
2011-06-28,27,"Partly Cloudy",0.0,19,35,15
2011-06-29,13,Sunny,0.0,19,32,16
2011-06-30,5,Sunny,0.0,27,35,17
2011-07-01,7,Sunny,0.0,22,33,13
2011-07-02,3,Sunny,0.1,21,33,19
2011-07-03,49,"Partly Cloudy",1.3,18,29,20
2011-07-04,7,Sunny,1.0,20,30,12
2011-07-05,4,Sunny,0.0,21,33,14
2011-07-06,5,Sunny,0.0,20,32,14
2011-07-07,3,Sunny,0.0,17,29,16
2011-07-08,4,Sunny,0.0,18,30,10
2011-07-09,6,Sunny,0.0,21,31,13
2011-07-10,3,Sunny,0.0,21,31,14
2011-07-11,0,Sunny,0.0,22,33,17
2011-07-12,3,Sunny,0.2,16,29,26
2011-07-13,8,Sunny,0.0,15,27,15
2011-07-14,4,Sunny,0.0,17,29,13
2011-07-15,8,Sunny,0.0,20,31,13
2011-07-16,7,Sunny,0.0,20,32,16
2011-07-17,10,Sunny,0.0,17,29,17
2011-07-18,4,Sunny,0.0,18,28,15
2011-07-19,5,Sunny,0.0,18,27,18
2011-07-20,3,Sunny,0.0,21,34,10
2011-07-21,4,Sunny,0.0,17,34,17
2011-07-22,12,Sunny,0.0,16,30,19
2011-07-23,4,Sunny,0.0,18,29,17
2011-07-24,5,Sunny,0.0,18,29,15
2011-07-25,10,Sunny,0.0,21,30,10
2011-07-26,9,Sunny,0.0,18,32,13
2011-07-27,4,Sunny,0.0,19,34,17
2011-07-28,11,Sunny,0.0,22,34,15
2011-07-29,4,Sunny,0.0,22,34,15
2011-07-30,5,Sunny,0.0,21,34,10
2011-07-31,4,Sunny,0.0,28,33,15
2011-08-01,49,"Partly Cloudy",1.8,20,32,14
2011-08-02,20,Sunny,3.3,19,28,18
2011-08-03,7,Sunny,0.0,21,32,10
2011-08-04,3,Sunny,0.0,23,34,10
2011-08-05,22,Sunny,0.0,22,32,17
2011-08-06,9,Sunny,0.0,21,31,18
2011-08-07,6,Sunny,0.0,20,32,15
2011-08-08,5,Sunny,0.0,18,33,17
2011-08-09,5,Sunny,0.0,20,35,17
2011-08-10,2,Sunny,0.0,22,36,15
2011-08-11,4,Sunny,0.0,24,35,10
2011-08-12,10,Sunny,5.2,22,36,24
2011-08-13,14,Sunny,2.7,23,32,13
2011-08-14,2,Sunny,0.0,23,34,13
2011-08-15,4,Sunny,0.0,26,36,10
2011-08-16,0,Sunny,0.0,26,37,10
2011-08-17,4,Sunny,0.2,23,35,15
2011-08-18,7,Sunny,1.0,23,34,12
2011-08-19,0,Sunny,0.1,25,38,13
2011-08-20,11,Sunny,0.4,25,38,15
2011-08-21,26,"Partly Cloudy",4.1,21,35,28
2011-08-22,3,Sunny,1.2,22,29,16
2011-08-23,6,Sunny,0.0,20,30,14
2011-08-24,5,Sunny,0.0,21,31,13
2011-08-25,4,Sunny,0.0,19,30,19
2011-08-26,19,"Patchy rain nearby",0.4,17,26,21
2011-08-27,0,Sunny,0.0,19,31,9
2011-08-28,0,Sunny,0.0,20,31,16
2011-08-29,4,Sunny,0.0,21,31,14
2011-08-30,2,Sunny,0.0,18,29,18
2011-08-31,20,Sunny,0.0,22,27,19
2011-09-01,25,"Partly Cloudy",0.5,16,27,13
2011-09-02,13,Sunny,1.0,16,24,9
2011-09-03,13,Sunny,0.0,16,27,15
2011-09-04,23,Sunny,0.0,16,26,14
2011-09-05,4,Sunny,0.0,19,28,13
2011-09-06,2,Sunny,0.0,22,32,13
2011-09-07,0,Sunny,0.0,22,35,9
2011-09-08,0,Sunny,0.0,19,34,10
2011-09-09,3,Sunny,0.0,20,33,13
2011-09-10,0,Sunny,0.0,19,30,19
2011-09-11,89,Overcast,0.0,20,29,11
2011-09-12,0,Sunny,0.0,22,35,10
2011-09-13,2,Sunny,0.0,21,36,8
2011-09-14,4,Sunny,0.0,22,32,15
2011-09-15,4,Sunny,0.0,20,31,10
2011-09-16,6,Sunny,0.0,21,31,11
2011-09-17,6,Sunny,0.0,19,31,14
2011-09-18,0,Sunny,0.0,13,25,21
2011-09-19,2,Sunny,0.0,16,27,13
2011-09-20,4,Sunny,0.0,19,29,11
2011-09-21,2,Sunny,0.0,19,31,9
2011-09-22,21,Sunny,0.0,16,29,8
2011-09-23,4,Sunny,0.0,16,28,12
2011-09-24,5,Sunny,0.0,17,26,10
2011-09-25,0,Sunny,0.0,18,30,6
2011-09-26,5,Sunny,0.0,17,29,7
2011-09-27,5,Sunny,0.0,17,30,9
2011-09-28,8,Sunny,0.0,17,26,10
2011-09-29,7,Sunny,0.0,15,27,14
2011-09-30,9,Sunny,0.0,19,26,14
2011-10-01,4,Sunny,0.0,15,26,15
2011-10-02,0,Sunny,0.0,17,29,9
2011-10-03,0,Sunny,0.0,18,32,11
2011-10-04,0,Sunny,0.0,18,32,12
2011-10-05,0,Sunny,0.0,17,32,9
2011-10-06,2,Sunny,0.0,16,29,12
2011-10-07,4,Sunny,0.0,11,23,17
2011-10-08,5,Sunny,0.0,11,21,14
2011-10-09,2,Sunny,0.0,15,24,13
2011-10-10,0,Sunny,0.0,17,30,12
2011-10-11,0,Sunny,0.0,18,32,8
2011-10-12,0,Sunny,0.0,19,33,9
2011-10-13,0,Sunny,0.0,18,32,10
2011-10-14,0,Sunny,0.0,16,31,11
2011-10-15,0,Sunny,0.0,14,26,10
2011-10-16,0,Sunny,0.0,14,25,8
2011-10-17,4,Sunny,0.0,15,24,8
2011-10-18,2,Sunny,0.0,11,27,6
2011-10-19,4,Sunny,0.0,10,25,16
2011-10-20,0,Sunny,0.0,10,21,17
2011-10-21,0,Sunny,0.0,10,22,12
2011-10-22,5,Sunny,0.0,10,21,10
2011-10-23,45,"Partly Cloudy",0.2,12,19,24
2011-10-24,56,"Moderate or heavy rain shower",38.3,7,17,25
2011-10-25,29,"Partly Cloudy",0.0,8,13,21
2011-10-26,58,"Partly Cloudy",0.9,10,16,22
2011-10-27,97,"Light rain shower",22.8,9,14,23
2011-10-28,25,"Partly Cloudy",0.0,9,18,13
2011-10-29,4,Sunny,0.0,11,20,12
2011-10-30,10,Sunny,0.0,11,21,13
2011-10-31,13,Sunny,0.2,14,20,11
2011-11-01,54,"Partly Cloudy",2.1,12,18,9
2011-11-02,40,"Patchy light drizzle",6.8,13,17,25
2011-11-03,44,"Patchy light rain",10.1,9,14,31
2011-11-04,61,"Light rain shower",3.9,8,12,13
2011-11-05,30,"Partly Cloudy",2.9,7,12,18
2011-11-06,9,Sunny,0.7,8,12,19
2011-11-07,49,"Partly Cloudy",0.9,8,14,12
2011-11-08,6,Sunny,0.0,7,16,13
2011-11-09,19,Sunny,3.6,10,14,8
2011-11-10,70,Cloudy,0.6,10,16,13
2011-11-11,34,"Partly Cloudy",0.0,10,17,15
2011-11-12,20,Sunny,0.0,10,19,21
2011-11-13,54,"Patchy light drizzle",1.9,11,15,18
2011-11-14,47,"Patchy light drizzle",10.2,8,14,26
2011-11-15,63,Cloudy,0.2,7,12,14
2011-11-16,38,"Partly Cloudy",0.0,7,14,11
2011-11-17,4,Sunny,0.0,9,16,10
2011-11-18,72,Cloudy,0.9,8,13,11
2011-11-19,71,Cloudy,2.4,9,13,15
2011-11-20,74,"Patchy light rain",11.0,8,14,15
2011-11-21,45,"Partly Cloudy",0.0,8,14,9
2011-11-22,64,Cloudy,0.3,8,12,8
2011-11-23,41,"Partly Cloudy",1.7,8,13,17
2011-11-24,9,Sunny,0.0,8,15,12
2011-11-25,10,Sunny,0.0,6,16,13
2011-11-26,2,Sunny,0.0,5,17,13
2011-11-27,41,"Partly Cloudy",0.0,5,14,5
2011-11-28,15,Sunny,0.0,4,14,9
2011-11-29,13,Sunny,0.0,5,14,9
2011-11-30,0,Sunny,0.0,5,16,5
2011-12-01,7,Sunny,0.0,4,12,11
2011-12-02,29,"Patchy rain nearby",6.3,4,9,19
2011-12-03,13,Sunny,0.0,4,11,17
2011-12-04,0,Sunny,0.0,4,13,9
2011-12-05,27,"Partly Cloudy",0.0,6,13,7
2011-12-06,2,Sunny,0.0,6,16,10
2011-12-07,0,Sunny,0.0,5,17,6
2011-12-08,32,"Partly Cloudy",0.0,3,14,8
2011-12-09,45,"Partly Cloudy",0.0,2,12,6
2011-12-10,27,"Partly Cloudy",0.0,1,10,10
2011-12-11,43,"Partly Cloudy",0.1,3,10,9
2011-12-12,28,"Partly Cloudy",0.0,3,11,13
2011-12-13,20,Sunny,0.0,6,11,13
2011-12-14,48,"Partly Cloudy",1.2,4,12,18
2011-12-15,10,Sunny,0.0,3,11,15
2011-12-16,35,"Partly Cloudy",1.2,2,12,36
2011-12-17,15,Sunny,0.4,1,10,17
2011-12-18,5,Sunny,0.0,1,8,12
2011-12-19,11,Sunny,0.0,2,8,8
2011-12-20,25,Sunny,0.0,4,12,11
2011-12-21,8,Sunny,0.0,6,15,13
2011-12-22,0,Sunny,0.0,8,18,12
