date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2014-04-01,4,Sunny,0.7,16,28,15
2014-04-02,4,Sunny,2.3,16,28,12
2014-04-03,5,Sunny,25.4,15,28,9
2014-04-04,18,"Moderate or heavy rain shower",35.6,16,27,8
2014-04-05,16,Sunny,0.8,15,27,4
2014-04-06,46,"Partly Cloudy ",2.5,16,28,4
2014-04-07,45,"Partly Cloudy ",7.9,18,25,6
2014-04-08,19,"Patchy rain nearby",20.5,18,27,9
2014-04-09,43,"Patchy light drizzle",8.7,19,26,10
2014-04-10,5,Sunny,0.9,14,29,13
2014-04-11,0,Sunny,0.0,17,32,8
2014-04-12,0,Sunny,2.2,16,32,6
2014-04-13,4,Sunny,8.3,17,29,6
2014-04-14,7,Sunny,6.0,18,30,6
2014-04-15,7,Sunny,8.2,18,31,7
2014-04-16,9,Sunny,1.8,18,31,8
2014-04-17,12,"Patchy rain nearby",12.0,19,29,12
2014-04-18,6,"Patchy rain nearby",6.4,19,30,10
2014-04-19,9,Sunny,2.5,21,33,9
2014-04-20,4,Sunny,0.1,20,32,12
2014-04-21,1,Sunny,0.0,21,33,12
2014-04-22,0,Sunny,0.0,20,34,12
2014-04-23,0,Sunny,0.0,20,33,14
2014-04-24,0,Sunny,0.0,20,32,14
2014-04-25,6,"Patchy rain nearby",8.7,20,30,12
2014-04-26,0,Sunny,8.3,19,35,7
2014-04-27,7,"Patchy rain nearby",21.8,20,32,8
2014-04-28,11,"Moderate or heavy rain shower",32.0,19,29,12
2014-04-29,11,"Patchy rain nearby",16.9,18,28,9
2014-04-30,10,"Patchy rain nearby",12.7,20,30,7
2014-05-01,12,"Patchy rain nearby",14.6,18,30,8
2014-05-02,12,"Patchy rain nearby",19.4,19,29,6
2014-05-03,24,"Moderate or heavy rain shower",35.7,19,28,10
2014-05-04,47,"Moderate or heavy rain shower",31.0,17,26,6
2014-05-05,35,"Moderate or heavy rain shower",29.0,17,27,8
2014-05-06,18,"Moderate or heavy rain shower",25.8,19,27,8
2014-05-07,51,"Moderate or heavy rain shower",46.8,18,24,9
2014-05-08,53,"Light rain shower",19.6,18,24,11
2014-05-09,32,"Patchy rain nearby",9.0,19,24,12
2014-05-10,28,"Patchy rain nearby",5.0,19,25,12
2014-05-11,26,"Patchy rain nearby",13.1,17,28,12
2014-05-12,25,"Patchy rain nearby",16.7,20,26,9
2014-05-13,30,"Patchy rain nearby",12.5,20,28,9
2014-05-14,20,"Patchy rain nearby",9.5,20,28,10
2014-05-15,17,"Patchy light rain in area with thunder",10.9,20,28,10
2014-05-16,11,Sunny,2.4,18,29,10
2014-05-17,8,"Patchy rain nearby",4.2,18,31,7
2014-05-18,11,"Patchy rain nearby",7.9,17,30,6
2014-05-19,18,"Patchy rain nearby",7.9,20,32,6
2014-05-20,21,"Patchy rain nearby",9.2,20,31,7
2014-05-21,18,"Patchy rain nearby",5.1,21,31,6
2014-05-22,11,"Patchy rain nearby",4.7,18,30,8
2014-05-23,10,Sunny,3.4,20,32,4
2014-05-24,13,Sunny,1.1,21,33,5
2014-05-25,46,"Partly Cloudy ",12.4,20,28,5
2014-05-26,28,"Patchy rain nearby",22.9,19,31,8
2014-05-27,23,Sunny,10.7,18,31,9
2014-05-28,47,"Patchy rain nearby",7.4,18,29,12
2014-05-29,54,"Patchy light drizzle",4.7,18,27,8
2014-05-30,32,"Patchy rain nearby",9.4,18,30,5
2014-05-31,27,"Patchy rain nearby",14.8,21,29,5
2014-06-01,43,"Patchy rain nearby",6.2,20,30,8
2014-06-02,27,"Partly Cloudy ",10.7,20,32,7
2014-06-03,46,"Patchy rain nearby",7.6,19,29,9
2014-06-04,46,"Patchy rain nearby",5.2,21,30,6
2014-06-05,49,"Patchy rain nearby",12.3,21,28,8
2014-06-06,32,"Partly Cloudy ",5.3,21,30,8
2014-06-07,58,"Light rain shower",15.4,22,29,6
2014-06-08,77,"Light rain shower",19.8,21,27,7
2014-06-09,44,"Patchy light rain",15.9,20,27,8
2014-06-10,65,"Light rain shower",10.2,20,27,6
2014-06-11,57,"Light rain shower",9.3,21,27,7
2014-06-12,50,"Light rain shower",6.7,21,30,7
2014-06-13,20,"Patchy rain nearby",5.2,21,31,5
2014-06-14,24,"Patchy rain nearby",9.9,20,31,5
2014-06-15,26,"Patchy rain nearby",15.3,21,32,4
2014-06-16,30,"Patchy rain nearby",25.1,22,31,5
2014-06-17,47,"Patchy rain nearby",35.3,19,30,5
2014-06-18,44,"Patchy rain nearby",24.5,19,30,9
2014-06-19,64,"Moderate rain at times",23.7,19,26,8
2014-06-20,99,"Moderate rain",102.7,18,24,9
2014-06-21,100,"Moderate rain",76.5,18,23,13
